GeneName	FC	BatchId	SampleId	CN	SegmentNo
CCND2	0.9428058925283869	T00046	JZTP78752508144871	2	1
CCND2	0.471589635343429	T00046	WXPB23014561468548	0	1
CCND2	0.9246536859411342	T00046	FQZU12805768856828	2	1
CCND2	0.8876125882959884	T00046	DVFP63122273146266	2	1
CCND2	0.9389096720679554	T00046	VXAD00221616048490	2	1
CCND2	0.9927314722731305	T00046	DRWV90735099573142	2	1
CCND2	0.9867965517294256	T00046	PBAT43182663173597	2	1
CCND2	0.9270507183547919	T00046	JCRI39443386784967	2	1
CCND2	0.5173009654274929	T00047	RYBQ59803368424394	0	1
CCND2	0.8454768089123466	T00047	LMWF50125876862452	2	1
CCND2	0.9970697912121392	T00047	SCIC68035703205103	2	1
CCND2	1.6008597413078234	T00047	GPEY91956915439400	5	1
CCND2	0.8697667696690022	T00047	HIEC75106030516124	2	1
CCND2	0.955751940995996	T00047	FXDF22583265845011	2	1
CCND2	0.8500650604297321	T00047	SCBC53505167212178	2	1
CCND2	0.4903522445280008	T00047	YHPH88654826988820	0	1
CCND2	0.8527828095545334	T00048	PEXY54705476596507	2	1
CCND2	0.907977119723621	T00048	CSIU53077442539371	2	1
CCND2	0.944151428347287	T00048	JKGC90608090470761	2	1
CCND2	0.8663595400046394	T00048	QXNP17665177017995	2	1
CCND2	0.9210968043331961	T00048	HKOT97137521933901	2	1
CCND2	0.9093751197494513	T00048	QVOU66007625176573	2	1
CCND2	0.9979023766414402	T00048	EGKY57295835062096	2	1
CCND2	0.963470769217387	T00048	UDNC00072730181266	2	1
CCND2	0.8790023324379773	T00049	ZSQR89996557204564	2	1
CCND2	0.950093014663254	T00049	QPBR87696513308603	2	1
CCND2	0.9392231807345094	T00049	BQSD77062028153131	2	1
CCND2	0.9363122409259204	T00049	JYKT07182508070042	2	1
CCND2	0.9173545916699294	T00049	GZLH27186998350875	2	1
CCND2	0.9451247629763729	T00049	LROH23926952627661	2	1
CCND2	0.8333809043990792	T00049	TFUV89020746147240	2	1
CCND2	0.9272556157064314	T00049	IDGT08846586269730	2	1
CCND2	1.0362487803842029	T00050	BYUH33453892158008	3	1
CCND2	0.9923371925121495	T00050	ILFW11655781639487	2	1
CCND2	0.9809918837156969	T00050	QGVW66050853252912	2	1
CCND2	0.8642225096659493	T00050	HSFV85675357691074	2	1
CCND2	0.9532059121455513	T00050	JQNY21414360790167	2	1
CCND2	0.9666807024935175	T00050	PJCL60461456898172	2	1
CCND2	0.9486551966334201	T00050	GKBH83372469135514	2	1
CCND2	0.8841894687234214	T00050	GIJD74734443576740	2	1
CCND2	0.9921776870999715	T00051	UHGE17670249316229	2	1
CCND2	0.974967206607243	T00051	IWSJ51636681725084	2	1
CCND2	0.8424883823619589	T00051	ITKH50885487400952	2	1
CCND2	0.8684908655639392	T00051	EIRU17549582768861	2	1
CCND2	0.9806890916317098	T00051	YKTG58682824825378	2	1
CCND2	0.9593590758362147	T00051	QXSO50902939254281	2	1
CCND2	0.4667845448919304	T00051	PZBG85436693621976	0	1
CCND2	0.9688712719288631	T00051	RLVT86630643569423	2	1
CCND2	0.8561442391050589	T00052	JUBZ74654843998591	2	1
CCND2	0.9202678607371177	T00052	ZORF96960823527499	2	1
CCND2	0.9632256761363578	T00052	UKGJ36112912513833	2	1
CCND2	0.45089397335341463	T00052	HQSH13203204413454	0	1
CCND2	1.0069732156816098	T00052	DEXM61983330386286	2	1
CCND2	0.8894606692654209	T00052	NMLV79244525484351	2	1
CCND2	0.9816995170744025	T00052	CLXF15288393767900	2	1
CCND2	0.9646883797193554	T00052	AVDZ67674941494572	2	1
CCND2	0.9029196426870529	T00053	HMEO38040083296575	2	1
CCND2	0.8433836958586486	T00053	THKD52746114778918	2	1
CCND2	0.9944128518010872	T00053	TGVE72854539128866	2	1
CCND2	0.9554337859782511	T00053	HRIF18103424255447	2	1
CCND2	0.9246759079627432	T00053	YHEL02779835837615	2	1
CCND2	0.8436367824315065	T00053	DQMF83753788605892	2	1
CCND2	0.499893280210722	T00053	MIEF05707736659309	0	1
CCND2	0.9135019851844193	T00053	GYIG78371430241404	2	1
CCND2	0.9513460262602947	T00054	OHCH09716980644437	2	1
CCND2	0.8623306478999097	T00054	GAPM22682065720500	2	1
CCND2	0.9031089855517896	T00054	GNWS18822044125814	2	1
CCND2	0.9018378666582861	T00054	CQUE60691765025294	2	1
CCND2	0.9543493992915013	T00054	RJXR66696172214927	2	1
CCND2	0.8663930139659312	T00054	JBXJ42275724801868	2	1
CCND2	0.9642410018054167	T00054	USXO44842305990072	2	1
CCND2	0.9405046048819902	T00054	SZOA85684636274867	2	1
CCND2	1.4358190506185584	T00055	CKBE19868659902031	4	1
